Transaction date,Claim vendor,Bank vendor,Bank details,Transaction type,Amount GBP,Receipt attached,Receipt files,App status,Receipt required in app,Expense category,Source type,Card member,External reference,Notes,Transaction ID
2025-03-11,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,18.65,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,4933619c-d45c-4ae7-a92d-abb14cd806c6
2025-03-18,Cursor,Cursor,Card Purchase CURSOR AI POWERED IDE,Card Transaction,15.49,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,334d14e1-3732-499b-b235-312073b98ad0
2025-03-25,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAR 50151679371,Card Transaction,15.52,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,dddf3ea6-4b73-49f2-915d-d3c3ca043461
2025-03-27,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAR 50151679371,Card Transaction,15.52,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,58b687f0-6143-43a2-8438-7a17ce09c798
2025-04-07,Cursor,Cursor,Card Purchase CURSOR USAGE MAR 50151679371,Card Transaction,15.04,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,543494b4-3c99-47ea-9e08-37c3d23dc993
2025-04-10,Cursor,Cursor,Card Purchase CURSOR USAGE MID APR 50151679371,Card Transaction,15.72,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,644ede2e-f374-4ec7-8d99-e6ca55620db4
2025-04-11,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,18.89,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,a9ebd6e0-cc01-4cb3-9b69-c8bb92fd4fb1
2025-04-22,Cursor,Cursor,Card Purchase CURSOR AI POWERED IDE 50151679371,Card Transaction,15.20,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,eb0179b5-a66b-4fae-befb-c319efc8e983
2025-04-29,Supabase,Supabase,Card Purchase SUPABASE,Card Transaction,18.84,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,40d4a992-8ea8-4d74-849a-cc43a6996adb
2025-05-07,Cursor,Cursor,Card Purchase CURSOR USAGE APR 50151679371,Card Transaction,5.14,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,d37120eb-a7cb-4871-8b44-4562e4ac6457
2025-05-08,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAY 50151679371,Card Transaction,15.11,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,b51c685f-7b29-4ac9-8e00-181a05774d6a
2025-05-13,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAY 50151679371,Card Transaction,15.14,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,174bacb3-bba8-45f7-8039-f6ff71d2e61f
2025-05-13,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAY 50151679371,Card Transaction,15.17,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,1d8c7584-38d2-49fc-962e-7ffe24deb7b2
2025-05-13,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAY 50151679371,Card Transaction,15.14,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,6b6994ca-150d-4f12-98e6-be4668825b32
2025-05-13,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,18.13,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,6edaa429-dc91-4733-9aae-e80aee0dd920
2025-05-13,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAY 50151679371,Card Transaction,15.15,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,e265f7b5-06ad-4949-ad79-164ba314daff
2025-05-13,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAY 50151679371,Card Transaction,15.14,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,e76ecea0-0656-4429-a36f-fc69c6acfa97
2025-05-14,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAY 50151679371,Card Transaction,15.25,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,3553ab87-5a84-4cd4-a5fd-4c4093857379
2025-05-14,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAY 50151679371,Card Transaction,15.14,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,694a851a-609a-464b-b3d2-4fe752b86470
2025-05-14,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAY 50151679371,Card Transaction,15.16,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,c17d2921-4e70-4281-94d5-5d02216b2282
2025-05-15,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAY 50151679371,Card Transaction,15.22,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,12ccfee8-283e-45a6-8aa0-b36d9e8a4fdd
2025-05-15,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAY 50151679371,Card Transaction,15.24,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,5fd525c5-2a6b-458a-bbc3-5e8094a16793
2025-05-16,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAY 50151679371,Card Transaction,15.21,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,df441c4e-3566-4f05-aa24-19548c0f1f32
2025-05-19,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAY 50151679371,Card Transaction,15.07,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,8ed7e274-e2d0-4212-a423-0ccccfd9977f
2025-05-19,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAY 50151679371,Card Transaction,15.09,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,d8782d26-6f22-49c8-aaaa-b2891e5c79ff
2025-05-20,Cursor,Cursor,Card Purchase CURSOR AI POWERED IDE 50151679371,Card Transaction,15.09,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,c2d751f0-cfe0-4211-9dfc-b4b41a548523
2025-05-28,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,19.44,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,99243850-5b0a-49f2-9feb-33059fa52331
2025-05-30,Cursor,Cursor,Card Purchase CURSOR USAGE MID MAY 50151679371,Card Transaction,74.17,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,eabd714e-2b77-48f1-8ba8-95796b19c45b
2025-06-10,Cursor,Cursor,Card Purchase CURSOR USAGE MAY 50151679371,Card Transaction,52.80,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,437fe81f-cb11-45e9-995b-21f42596971c
2025-06-11,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,17.77,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,c0f86a5e-8b26-4c68-99f9-d022d973dc84
2025-06-11,Cursor,Cursor,Card Purchase CURSOR USAGE MID JUN 50151679371,Card Transaction,74.07,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,cbe4748f-b910-4bb3-9d42-7f25fcb6a9f0
2025-06-17,Cursor,Cursor,Card Purchase CURSOR USAGE MID JUN 50151679371,Card Transaction,74.22,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,bb16eb1e-0bab-446a-95d4-f144f3d5b0f4
2025-06-18,Cursor,Cursor,Card Purchase CURSOR AI POWERED IDE 50151679371,Card Transaction,14.80,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,7a297daa-5788-41c7-92fe-99263ba131eb
2025-06-30,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,18.40,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,60dccfc2-d4a8-463b-9310-66db680a0c7c
2025-07-08,Cursor,Cursor,Card Purchase CURSOR USAGE JUN 50151679371,Card Transaction,53.78,yes,receipts/Cursor/2025-07-08 - GBP 53.78 - Cursor - 6a19f9e3.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,3e06af92-dea0-4f2c-a67f-d3247ba9ece3
2025-07-11,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,17.75,yes,receipts/OpenAI/2025-07-11 - GBP 17.75 - OpenAI - 59282b2a.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,e7457cf6-0c61-468a-9a31-7cf4f4efb579
2025-07-29,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,18.64,yes,receipts/Supabase/2025-07-29 - GBP 18.64 - Supabase - 387fd10c.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,694fb26a-90c1-4512-a6a9-9b4b424854f6
2025-08-12,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,17.91,yes,receipts/OpenAI/2025-08-12 - GBP 17.91 - OpenAI - 71e3002f.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,9a8075e1-48bd-40ac-995c-692c35eacab7
2025-08-14,ClaudeAI,ClaudeAI,Card Purchase CLAUDE.AI SUBSCRIPTION 50186530803,Card Transaction,180.00,yes,receipts/ClaudeAI/2025-08-14 - GBP 180.00 - ClaudeAI - 40d42cc4.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,1c5d0d0b-6476-43e1-8871-e176af11a021
2025-08-28,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,18.55,yes,receipts/Supabase/2025-08-28 - GBP 18.55 - Supabase - b5b5578d.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,69127ebe-9ff6-4fa1-ad52-2ad70d613cee
2025-09-09,Cloudflare (cheersai.uk),Cloud Flare,Card Purchase CLOUDFLARE,Card Transaction,3.88,yes,receipts/Cloudflare (cheersai.uk)/2025-09-09 - GBP 3.88 - Cloudflare (cheersai.uk) - 1c89b940.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,1a667d30-12c6-4e81-963e-905792e8b5b7
2025-09-09,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR,Card Transaction,176.80,yes,receipts/OpenAI/2025-09-09 - GBP 176.80 - OpenAI - 0c484653.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,62543dd6-aaed-4319-ba93-ecda303c9e8d
2025-09-16,ClaudeAI,ClaudeAI,Card Purchase CLAUDE.AI SUBSCRIPTION 50186530803,Card Transaction,180.00,yes,receipts/ClaudeAI/2025-09-16 - GBP 180.00 - ClaudeAI - 6671c20a.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,debbccf3-6681-4725-b940-f10d2de32bff
2025-09-30,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,18.74,yes,receipts/Supabase/2025-09-30 - GBP 18.74 - Supabase - cba7dc8e.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,14be1c26-207e-4413-9ab4-eb71e00c738c
2025-10-07,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,178.88,yes,receipts/OpenAI/2025-10-07 - GBP 178.88 - OpenAI - 40150294.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,8ce8de51-2fdc-4ba1-a070-c5ff816cd387
2025-10-27,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,18.79,no,,completed,no,Marketing/Promotion/Advertising,bank,,,,4e8ac3cd-0e07-458b-b915-865ee301b69d
2025-10-28,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,22.59,yes,receipts/Supabase/2025-10-28 - GBP 22.59 - Supabase - f08a8134.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,fa274c7c-bac9-4458-9a99-c4e56483a2b4
2025-11-07,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,184.52,yes,receipts/OpenAI/2025-11-07 - GBP 184.52 - OpenAI - 431abe90.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,b2fce4d8-ca9b-4803-9831-0744d9615ae5
2025-11-13,Vercel,Vercel,Card Purchase VERCEL INC. 50149076301,Card Transaction,15.23,yes,receipts/Vercel/2025-11-13 - GBP 15.23 - Vercel - 78c7e4cc.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,e28655f1-e767-47fe-a44f-ad1c7b1b3f74
2025-11-24,Google AI Ultra,GOOGLE,Card Purchase GOOGLE Google One,Card Transaction,119.99,yes,receipts/Google AI Ultra/2025-11-24 - GBP 119.99 - Google AI Ultra - c268d7e9.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,f3648976-5e79-4a4d-b0b3-2df4720f60fa
2025-11-25,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,31.89,yes,receipts/Supabase/2025-11-25 - GBP 31.89 - Supabase - 8aaa21c6.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,82fb2236-b785-4715-b3e4-e113cea07856
2025-11-28,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,33.81,yes,receipts/Supabase/2025-11-28 - GBP 33.81 - Supabase - 5b5f805c.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,c0356f0c-8055-4320-b8b5-887a22621039
2025-12-09,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,180.27,yes,receipts/OpenAI/2025-12-09 - GBP 180.27 - OpenAI - 30e40001.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,28e6504b-f081-457e-b871-ba6de2173da8
2025-12-12,Vercel,Vercel,Card Purchase VERCEL INC. 50149076301,Card Transaction,15.05,yes,receipts/Vercel/2025-12-12 - GBP 15.05 - Vercel - 87a04995.pdf,completed,no,Entertainment,bank,,,,bd34b8c0-498b-49bf-8aa9-608e94b7db6d
2025-12-23,Google AI Ultra,Google,Card Purchase GOOGLE Google One,Card Transaction,119.99,yes,receipts/Google AI Ultra/2025-12-23 - GBP 119.99 - Google AI Ultra - 4932f3d3.pdf,completed,no,Sundries/Consumables,bank,,,,c46c5ca4-04db-4d4b-9ff2-77e91174e6b8
2025-12-29,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,39.73,yes,receipts/Supabase/2025-12-29 - GBP 39.73 - Supabase - 076135eb.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,513dc8be-9911-4528-aff2-d50da1405dfe
2025-12-30,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,39.95,yes,receipts/Supabase/2025-12-30 - GBP 39.95 - Supabase - 3c8f7c5d.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,c9d0b722-a32b-4705-b6a5-a123ab292e15
2026-01-07,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,178.96,yes,receipts/OpenAI/2026-01-07 - GBP 178.96 - OpenAI - 2bc7c849.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,74bb8424-4eba-46b8-a382-7ab5bd231ef6
2026-01-13,Vercel,Vercel,Card Purchase VERCEL INC. 50149076301,Card Transaction,14.94,yes,receipts/Vercel/2026-01-13 - GBP 14.94 - Vercel - a7a86ae8.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,bb17dd3b-b0f8-4dff-ae7d-72a08c0f09be
2026-01-23,Google AI Ultra,Google,Card Purchase GOOGLE Google One,Card Transaction,234.99,yes,receipts/Google AI Ultra/2026-01-23 - GBP 234.99 - Google AI Ultra - aa05daf1.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,1b929a07-ba4d-4dbe-88cd-6b9298b0435b
2026-01-27,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,41.04,yes,receipts/Supabase/2026-01-27 - GBP 41.04 - Supabase - 17ed5812.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,f36b261f-5260-4160-8115-9c45314fe470
2026-01-28,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,55.67,yes,receipts/Supabase/2026-01-28 - GBP 55.67 - Supabase - ac8b8710.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,ec3e1e71-d731-4856-a462-56344ccb9506
2026-02-09,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,177.36,yes,receipts/OpenAI/2026-02-09 - GBP 177.36 - OpenAI - 21d6d85c.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,df29a34b-f08c-4af2-937a-abe6a88c6349
2026-02-12,Vercel,Vercel,Card Purchase VERCEL INC. 50149076301,Card Transaction,14.65,yes,receipts/Vercel/2026-02-12 - GBP 14.65 - Vercel - c5ceccb4.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,0f2c3c47-b2fe-45d6-bb1f-cebe3237b9f9
2026-02-24,Google AI Ultra,Google,Card Purchase GOOGLE Google One,Card Transaction,234.99,yes,receipts/Google AI Ultra/2026-02-24 - GBP 234.99 - Google AI Ultra - 24578a1d.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,64501fb4-ce6b-4e9f-9af2-d2d11f4d4aeb
2026-02-25,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,46.75,yes,receipts/Supabase/2026-02-25 - GBP 46.75 - Supabase - 53ed0d20.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,d8bb5548-77ec-42f4-99c0-b392ada22f07
2026-02-26,ClaudeAI,ClaudeAI,Card Purchase CLAUDE.AI SUBSCRIPTION 50186530803,Card Transaction,150.00,yes,receipts/ClaudeAI/2026-02-26 - GBP 150.00 - ClaudeAI - fb3e59f1.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,9451a4bd-4600-4ef6-841e-c609abbb8f3b
2026-03-02,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,53.90,yes,receipts/Supabase/2026-03-02 - GBP 53.90 - Supabase - 46e594f0.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,9490d1dc-8951-4b52-b6cf-e6d69762979f
2026-03-09,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,180.52,yes,receipts/OpenAI/2026-03-09 - GBP 180.52 - OpenAI - 3174c98d.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,37dba6d1-ec4f-43f5-b247-0e2e512c667c
2026-03-12,Vercel,Vercel,Card Purchase VERCEL INC.,Card Transaction,26.62,yes,receipts/Vercel/2026-03-12 - GBP 26.62 - Vercel - 8d4f969f.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,10991148-46de-4fab-abaf-c54fcd87d60b
2026-03-24,Google AI Ultra,Google,Card Purchase GOOGLE Google One,Card Transaction,234.99,yes,receipts/Google AI Ultra/2026-03-24 - GBP 234.99 - Google AI Ultra - d720f9e2.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,01f7cc7b-0e97-442b-8e9d-8bf3f11394cb
2026-03-25,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,51.46,yes,receipts/Supabase/2026-03-25 - GBP 51.46 - Supabase - 604875eb.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,a414cca5-69db-4e4b-b252-03a88ef120ea
2026-03-26,ClaudeAI,ClaudeAI,Card Purchase CLAUDE.AI SUBSCRIPTION 50186530803,Card Transaction,150.00,yes,receipts/ClaudeAI/2026-03-26 - GBP 150.00 - ClaudeAI - ee782701.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,8d7534cb-0108-477f-bdda-9510d62dfb28
2026-03-30,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,53.91,no,,completed,no,Marketing/Promotion/Advertising,bank,,,,f7b2d1ad-1c07-4e33-9498-a87f95f084f4
2026-04-07,OpenAI,OpenAI,Card Purchase OPENAI 50108328335,Card Transaction,18.19,yes,receipts/OpenAI/2026-04-07 - GBP 18.19 - OpenAI - f5ff744e.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,329a51e6-1281-4430-90ec-b61b8b96fd40
2026-04-07,OpenAI,OpenAI,Card Purchase OPENAI 50108328335,Card Transaction,9.10,yes,receipts/OpenAI/2026-04-07 - GBP 9.10 - OpenAI - 79d0065c.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,e91b0e96-1d16-4852-960c-e93368345674
2026-04-08,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,181.93,yes,receipts/OpenAI/2026-04-08 - GBP 181.93 - OpenAI - a539d65e.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,77037093-6f73-48e4-91f2-efb1549aa999
2026-04-14,Vercel,Vercel,Card Purchase VERCEL INC. 50149076301,Card Transaction,20.06,yes,receipts/Vercel/2026-04-14 - GBP 20.06 - Vercel - 3c9eacba.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,aa96bd12-03e3-42d3-8573-2093f329b242
2026-04-23,Google AI Ultra,Google,Card Purchase GOOGLE Google One,Card Transaction,234.99,yes,receipts/Google AI Ultra/2026-04-23 - GBP 234.99 - Google AI Ultra - 5cf576b7.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,f93c7714-669b-4d3d-962a-b5c1e1d790f0
2026-04-27,Supabase,Supabase,Card Purchase SUPABASE,Card Transaction,53.63,yes,receipts/Supabase/2026-04-27 - GBP 53.63 - Supabase - e6110948.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,635bb15f-4519-425a-bab2-f4bcc373b3af
2026-04-28,Supabase,Supabase,Card Purchase SUPABASE 50128374530,Card Transaction,70.65,yes,receipts/Supabase/2026-04-28 - GBP 70.65 - Supabase - 20eb056c.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,742b30f7-1a3e-4d30-837b-8228194da716
2026-04-28,ClaudeAI,ClaudeAI,Card Purchase CLAUDE.AI SUBSCRIPTION 50186530803,Card Transaction,150.00,yes,receipts/ClaudeAI/2026-04-28 - GBP 150.00 - ClaudeAI - 11a2d04c.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,b3e18558-718e-43f2-9601-79ff8260db6c
2026-05-07,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,177.66,yes,receipts/OpenAI/2026-05-07 - GBP 177.66 - OpenAI - 021669e7.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,68c3dd2c-2051-4808-972e-f4a4c78091c8
2026-05-12,Vercel,Vercel,Card Purchase VERCEL INC. 50149076301,Card Transaction,24.39,yes,receipts/Vercel/2026-05-12 - GBP 24.39 - Vercel - dde0430d.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,879babcb-7c3b-41c7-9c34-6c4b2aefbc3f
2026-05-26,ClaudeAI,ClaudeAI,Card Purchase CLAUDE.AI SUBSCRIPTION 50186530803,Card Transaction,150.00,yes,receipts/ClaudeAI/2026-05-26 - GBP 150.00 - ClaudeAI - b9b05c8f.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,f076c0d8-5bd1-49f3-9be5-d9183c668aa3
2026-06-09,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,179.73,yes,receipts/OpenAI/2026-06-09 - GBP 179.73 - OpenAI - a90e0232.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,190b7c47-8ec3-400c-893b-47cc84028a89
2026-06-12,Vercel,Vercel,Card Purchase VERCEL INC. 50149076301,Card Transaction,24.26,yes,receipts/Vercel/2026-06-12 - GBP 24.26 - Vercel - e3c9e2a6.pdf,completed,no,Marketing/Promotion/Advertising,bank,,,,d3afa2b1-cefe-4f15-af92-9269d6bffb43
